name,active,n_layers,r_layers,n_filters,n_fscale,rounding,use_batchnorm,train_codebook,latent_bpf,scale_latent
#1-real-features,TRUE,2,0,4,2,identity,TRUE,FALSE,5,FALSE
#1-int-features,TRUE,2,0,4,2,soft,TRUE,FALSE,5,TRUE
#1-4bpf-features,TRUE,2,0,4,2,soft-codebook,TRUE,TRUE,4,FALSE
#1-bin-features,TRUE,2,0,4,2,soft-codebook,TRUE,FALSE,1,TRUE
#2-real-features,TRUE,3,0,4,2,identity,TRUE,FALSE,5,FALSE
#2-int-features,TRUE,3,0,4,2,soft,TRUE,FALSE,5,TRUE
#2-4bpf-features,TRUE,3,0,4,2,soft-codebook,TRUE,TRUE,4,FALSE
#2-bin-features,TRUE,3,0,4,2,soft-codebook,TRUE,FALSE,1,TRUE
#5-real-features,TRUE,3,0,8,2,identity,TRUE,FALSE,5,FALSE
#5-int-features,TRUE,3,0,8,2,soft,TRUE,FALSE,5,TRUE
#5-4bpf-features,TRUE,3,0,8,2,soft-codebook,TRUE,TRUE,4,FALSE
#5-bin-features,TRUE,3,0,8,2,soft-codebook,TRUE,FALSE,1,TRUE
#11-real-features,TRUE,3,0,16,2,identity,TRUE,FALSE,5,FALSE
#11-int-features,TRUE,3,0,16,2,soft,TRUE,FALSE,5,TRUE
#11-4bpf-features,TRUE,3,0,16,2,soft-codebook,TRUE,TRUE,4,FALSE
#11-bin-features,TRUE,3,0,16,2,soft-codebook,TRUE,FALSE,1,TRUE
#12-real-features,TRUE,4,0,16,2,identity,TRUE,FALSE,5,FALSE
#12-int-features,TRUE,4,0,16,2,soft,TRUE,FALSE,5,TRUE
#12-4bpf-features,TRUE,4,0,16,2,soft-codebook,TRUE,TRUE,4,FALSE
#12-bin-features,TRUE,4,0,16,2,soft-codebook,TRUE,FALSE,1,TRUE
#17-real-features,TRUE,3,2,8,2,identity,TRUE,FALSE,5,FALSE
#17-int-features,TRUE,3,2,8,2,soft,TRUE,FALSE,5,TRUE
#17-4bpf-features,TRUE,3,2,8,2,soft-codebook,TRUE,TRUE,4,FALSE
#17-bin-features,TRUE,3,2,8,2,soft-codebook,TRUE,FALSE,1,TRUE
#23-real-features,TRUE,3,2,16,2,identity,TRUE,FALSE,5,FALSE
#23-int-features,TRUE,3,2,16,2,soft,TRUE,FALSE,5,TRUE
#23-4bpf-features,TRUE,3,2,16,2,soft-codebook,TRUE,TRUE,4,FALSE
#23-bin-features,TRUE,3,2,16,2,soft-codebook,TRUE,FALSE,1,TRUE
#29-real-features,TRUE,3,0,8,2,identity,FALSE,FALSE,5,FALSE
#29-int-features,TRUE,3,0,8,2,soft,FALSE,FALSE,5,TRUE
#35-real-features,TRUE,3,0,16,2,identity,FALSE,FALSE,5,FALSE
#35-int-features,TRUE,3,0,16,2,soft,FALSE,FALSE,5,TRUE
